Number of Inputs,Scale 1, Scale 2,Performance
3,0.500000,4.000000,30.753581
3,0.500000,7.000000,24.901523
3,0.500000,6.000000,26.069450
3,0.500000,10.000000,23.500609
3,0.300000,10.000000,27.085270
3,0.400000,10.000000,28.445254
3,0.700000,4.000000,24.553078
3,0.700000,3.000000,30.765858
3,0.700000,7.000000,14.184164
3,0.700000,10.000000,8.534082
3,0.700000,20.000000,1498.304318
3,0.700000,12.000000,8.842631
3,0.700000,8.000000,13.190722
3,0.700000,12.500000,20.251776
3,0.700000,6.000000,16.521350
3,0.800000,6.000000,14.207431
3,0.800000,10.000000,6.403838
3,0.800000,9.000000,9.811077
3,0.800000,12.000000,46.109909
3,0.800000,10.500000,6.210903
3,0.800000,11.000000,8.926406
3,0.900000,13.000000,689.474337
3,0.900000,5.000000,11.813955
3,0.900000,4.000000,15.940198
3,0.900000,7.000000,9.321779
3,0.900000,9.000000,12.433786
3,0.900000,6.000000,13.916454
3,0.900000,8.000000,10.458038
3,0.900000,7.500000,9.665164
3,0.900000,7.250000,9.183732
3,1.000000,10.000000,11.200460
3,1.000000,8.000000,10.644436
3,1.000000,7.000000,8.823461
3,1.000000,6.000000,11.045600
3,1.000000,7.500000,7.732492
3,1.000000,2.000000,30.659115
5,0.800000,10.500000,59.249478
5,0.800000,8.000000,20.442917
5,0.800000,5.000000,6.778625
5,0.800000,3.000000,20.172088
5,0.800000,6.000000,7.469679
5,0.800000,4.000000,9.895631
5,0.800000,5.500000,6.904465
5,0.800000,5.250000,6.793990
5,0.800000,4.750000,7.119326
5,0.800000,5.125000,6.794515
5,0.700000,10.000000,87.771412
5,0.700000,4.000000,12.685879
5,0.700000,2.000000,31.863944
5,0.700000,7.000000,8.048200
5,0.700000,8.000000,12.934278
5,0.700000,6.000000,7.048124
5,0.700000,6.000000,7.048124
5,0.700000,6.500000,7.462743
5,0.700000,5.500000,7.078951
5,0.700000,5.750000,7.005603
5,0.700000,5.875000,7.035714
5,0.600000,10.000000,26.109831
5,0.600000,4.000000,17.001904
5,0.600000,7.000000,6.657099
5,0.600000,6.000000,7.694356
5,0.600000,8.000000,8.820507
5,0.600000,6.500000,7.060992
5,0.600000,6.750000,6.984504
5,0.600000,7.250000,6.529155
5,0.600000,7.500000,7.335987
5,0.600000,7.125000,6.549662
