No. rules,Sys. Type,Ref. Func,$factor1$,$factor2$,SSE 
25,mamdani,square,0.60,7.125,13.967485
25,mamdani,square,0.60,2.00,11.402784
25,mamdani,square,0.60,0.50,25.857485
25,mamdani,square,0.60,3.00,9.670112
25,mamdani,square,0.60,5.00,8.752938
25,mamdani,square,0.60,6.00,8.467538
25,mamdani,square,0.60,2.00,11.701809
9,mamdani,square,0.60,2.00,18.332530
9,mamdani,square,0.60,10.00,9.756853
9,mamdani,square,1.00,2.00,23.067489
9,mamdani,square,1.00,7.00,1503.550736
9,mamdani,square,0.90,5.00,11.381855
9,mamdani,square,0.90,7.00,10.815874
9,mamdani,square,0.70,5.00,10.809199
9,mamdani,square,0.70,9.00,9.693826
9,mamdani,square,0.70,12.00,9.650058
9,mamdani,square,0.70,15.00,172.514771
9,mamdani,square,0.30,7.00,32.371132
9,mamdani,square,0.30,15.00,15.432390
9,mamdani,square,0.30,30.00,12.409680
9,mamdani,square,0.30,60.00,15390.401106
9,mamdani,square,0.30,40.00,853.793806
9,mamdani,square,0.50,20.00,482.804210
9,mamdani,square,0.50,10.00,10.992719
9,mamdani,square,0.50,15.00,10.003034
9,mamdani,sawtooth,0.50,15.00,6.440346
9,mamdani,sawtooth,0.50,15.00,37.125619
25,sugeno,square,0.60,2.00,10.642364
25,sugeno,square,0.60,4.00,8.777417
25,sugeno,sin,0.60,4.00,1.576537
25,sugeno,sin,0.60,2.00,1.987883
25,mandani,sin,0.60,2.00,2.340998
25,mandani,sin,0.60,4.00,1.652202
9,mandani,sin,0.60,4.00,15.616121
9,mandani,square,0.60,4.00,13.158141
9,mandani,square,0.65,6.00,10.967875
9,mandani,sin,0.65,6.00,9.913078
9,mandani,sin,0.65,8.00,8.422704
9,mandani,sin,0.65,10.00,7.395736
9,mandani,sin,0.65,15.00,60.232326
9,mandani,sin,0.65,12.00,6.575488
9,mandani,sin,0.70,13.00,7.522831
9,mandani,sin,0.70,12.00,6.194977
9,mandani,sin,0.80,12.00,50.600450
9,mandani,sin,0.80,11.00,6.097949
9,mandani,sin,0.90,10.00,6.517744
9,mandani,sin,0.90,9.00,5.261081
9,mandani,sin,1.00,8.00,4.778808
9,mandani,sin,1.00,9.00,7.601689
9,mandani,sin,1.00,7.00,4.873267
9,sugeno,sin,1.00,8.00,108.355827
9,sugeno,sin,1.00,5.00,1.678123
9,sugeno,sin,1.00,4.00,1.560859
9,sugeno,sin,1.00,3.00,1.668104
9,sugeno,sin,0.90,4.00,1.581950
9,sugeno,square,1.00,4.00,9.692657
9,sugeno,square,0.70,4.00,8.914960
9,sugeno,square,0.60,4.00,8.913349
9,sugeno,square,0.60,3.00,9.873211
9,sugeno,square,0.80,4.00,8.906654
